RecordedDate,Condition,choiceDV,surprise,focus,rep_surp,focus_b,focus_w,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/20/21 21:52,2,2,1,2,5,4,4,3,5,3,4,2,26,2
9/20/21 21:53,2,2,6,3,4,4,3,3.5,4,4,4,3,28,1
9/20/21 21:53,2,2,9,2,5,5,5,3,5,4,4,4,29,1
9/20/21 21:55,2,2,9,4,5,4,3,3.5,2,5,5,3,34,0
9/20/21 21:58,2,2,8,2,5,4,5,2.5,4,3,3,3,43,1
9/20/21 21:58,2,2,6,1,3,3,3,3,3,3,3,4,34,0
9/20/21 22:02,2,2,7,2,4,3,2,3.5,3,4,3,4,37,1
9/20/21 22:03,2,1,1,-2,5,2,4,2,3,3,2,3,39,0
9/20/21 22:03,2,1,5,0,5,5,1,5,3,3,3,3,32,0
9/20/21 22:06,2,2,8,4,5,5,3,4,5,5,4,3,40,0
9/20/21 22:08,2,2,7,2,4,4,2,4,2,4,3,4,41,0
9/20/21 22:11,2,1,4,-3,5,4,4,3,3,4,4,2,40,0
9/20/21 22:12,2,2,2,4,5,3,4,2.5,5,5,2,2,31,0
9/20/21 22:14,2,2,2,3,4,3,3,3,4,1,1,2,30,2
9/20/21 22:16,2,1,7,3,4,3,5,2,4,4,3,3,20,1
9/20/21 22:17,2,1,1,-4,5,3,5,2,5,3,4,4,35,0
9/20/21 22:18,2,2,1,3,4,5,2,4.5,4,1,2,3,45,1
9/20/21 22:21,2,1,1,-4,5,2,5,1.5,5,4,3,5,57,0
9/20/21 22:23,2,1,1,-1,5,2,4,2,2,2,2,2,20,1
9/20/21 22:27,2,1,1,-4,5,2,2,3,4,1,1,1,29,0
9/20/21 22:30,2,2,5,4,3,4,3,3.5,4,5,3,3,39,0
9/20/21 22:31,2,2,9,4,4,4,2,4,3,4,2,2,28,1
9/20/21 22:33,2,2,7,4,4,5,2,4.5,5,5,3,4,45,1
9/20/21 22:35,2,1,1,1,3,3,4,2.5,4,3,3,3,67,0
9/20/21 22:38,2,2,6,4,5,4,2,4,5,4,3,3,42,0
9/20/21 22:39,2,2,9,4,4,5,3,4,5,5,3,3,45,1
9/20/21 22:39,2,1,1,0,5,3,4,2.5,5,4,3,3,56,0
9/20/21 22:43,2,2,9,4,5,5,4,3.5,4,4,3,3,42,0
9/20/21 22:44,2,1,1,-4,5,3,5,2,5,1,3,2,56,0
9/20/21 22:51,2,1,8,0,5,1,1,3,3,3,4,4,23,0
9/20/21 22:54,2,1,7,3,5,3,3,3,2,5,4,4,52,0
9/20/21 22:54,2,2,7,3,4,4,1,4.5,4,4,3,3,47,0
9/20/21 22:55,2,1,1,2,5,2,5,1.5,5,4,3,3,20,0
9/20/21 23:04,2,1,4,-2,3,4,3,3.5,3,3,3,2,36,2
9/20/21 23:07,2,2,9,4,5,4,5,2.5,5,5,5,5,64,1
9/20/21 23:13,2,1,2,4,1,2,4,2,4,3,3,2,43,0
9/20/21 23:15,2,2,9,0,5,3,3,3,4,4,3,3,37,0
9/20/21 23:19,2,2,9,4,5,5,3,4,5,5,5,2,33,0
9/20/21 23:35,2,1,1,0,4,1,5,1,4,2,3,3,44,1
9/20/21 23:37,2,2,3,3,5,4,3,3.5,4,4,3,3,49,1
9/20/21 23:45,2,1,1,-4,5,1,5,1,5,1,3,3,44,0
9/20/21 23:47,2,2,3,2,4,4,2,4,4,4,3,3,50,1
9/20/21 23:51,2,2,4,4,5,5,2,4.5,5,5,5,5,28,1
9/20/21 23:52,2,2,9,4,2,3,1,4,3,5,3,3,49,0
9/20/21 23:58,2,2,9,1,5,3,3,3,3,4,3,3,28,0
