snackliking1,snackliking2,snackliking3,snackliking4,snackliking5,snackliking6,snackliking7,snackliking8,snackliking9,snackliking10,snackliking11,snackliking12,snackliking13,snackliking14,snackliking15,snackliking16,snackliking17,snackliking18,snackliking19,snackliking20,filler1,filler2,preferredsnack,filler3,filler4,CONDITION,ChoiceDV,Surprise,age,gender,gender.r,gender_3_TEXT
3.82,3.58,4.65,4.52,4.78,2.55,3.42,1.42,4.68,3.22,4.48,3.42,3.32,4.95,2.52,3.52,3.35,0.22,2.52,4.65,Twinkies,Reese's Peanut Butter Cups,Skittles,Lays Chips,Fruit Roll-Ups,1,1,5,19,Female,0,
0.27,2.6,0.3,0.37,3.43,1.33,0.23,0.53,1.6,0.33,2.37,0.3,0.27,0.2,1.53,0.33,0.37,0.27,2.63,0.23,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,1,1,4,20,Female,0,
3.78,3.48,4.75,2.62,3.35,1.78,1.72,3.55,3.92,2.72,2.38,3.78,3.95,3.55,2.48,4.55,4.42,3.52,3.42,3.92,Twinkies,Kit Kat,Skittles,Lays Chips,Haribo Gummy Bears,1,1,2,21,Male,1,
3.73,4.9,2.7,2.53,2.53,1.63,0.3,3.6,2.27,4.83,4.87,1.1,0.97,0.23,2.83,3.97,2.07,0.27,0.2,3.9,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,1,1,3,20,Female,0,
0.6,4.83,4.8,0.67,2.43,0.6,0.67,0.63,2.67,0.73,0,1.43,2.83,2.83,0.83,4.03,3.97,2.93,0.77,0,Twinkies,Kit Kat,Skittles,Lays Chips,Haribo Gummy Bears,1,1,4,18,Male,1,
2.48,2.51,3.05,4.48,3.05,3.01,2.08,3.55,2.81,0.18,4.88,0.21,1.85,4.61,1.68,4.88,0.18,0.21,0.18,4.68,Twinkies,Reese's Peanut Butter Cups,Skittles,Doritos,Fruit Roll-Ups,1,1,4,19,Male,1,
3.68,3.82,2.42,4.48,5,2.28,3.05,3.78,4.62,4.38,4.45,4.05,4.78,3.45,4.52,3.75,4.55,2.32,4.68,3.42,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,1,1,4,19,Male,1,
1.73,4.87,3.53,1.77,4.67,1.8,1.37,4.83,2.67,2.57,4.77,0.67,2.73,1.83,3.7,3.7,1.77,0.9,0.53,4.97,Twinkies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,1,1,2,21,Male,1,
2.33,4.8,2.5,3.77,4.07,1.4,3.67,3.73,3.8,0.5,1.43,0.5,1.77,4.57,0.2,3.67,3.8,0.37,0.37,4.47,Twinkies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,2,0,4,19,Male,1,
4.43,3.53,2.47,2.4,2.37,1.7,2.37,4.23,4.47,3.37,3.5,2.73,4.4,4.33,2.4,4.63,4.53,0.53,0.47,3.33,Twinkies,Kit Kat,Skittles,Doritos,Fruit Roll-Ups,2,0,,19,Male,1,
0.5,4.6,3.57,3.6,0.6,1.67,2.57,1.67,4.63,1.37,2.83,2.27,2.53,0.63,0.57,2.53,2.73,0.27,0.2,1.2,Twinkies,Reese's Peanut Butter Cups,Skittles,Lays Chips,Fruit Roll-Ups,2,0,,20,Male,1,
2.93,4.47,4.03,4.5,4.57,0.53,3.47,4.4,3.77,2.47,2.53,2.53,4.5,4.47,3.5,4.73,4.43,3.47,2.5,4.17,Jelly Bellies,Kit Kat,Skittles,Doritos,Fruit Roll-Ups,2,0,,19,Male,1,
2.42,0.22,2.52,3.48,4.45,0.18,4.52,3.52,4.48,4.52,0.18,0.05,3.48,4.88,0.05,0.15,0.28,0.15,0.52,3.52,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,2,0,,18,Female,0,
1.03,2.4,4.9,3.53,0.5,0.9,0.73,4.37,0.4,2.53,0.33,1.83,3.33,3.43,0.43,3.6,2.43,0.53,0.27,4.5,Twinkies,Kit Kat,Skittles,Lays Chips,Fruit Roll-Ups,2,0,,20,Female,0,
1,2.5,1.5,3.5,4,0,1,3,2,2,1.5,0,1.5,4.5,1,4,2.5,0,0,2,Twinkies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,2,0,,18,Female,0,
3.97,1.93,4.27,2.53,2.57,0.5,1.57,3.5,4.5,2.5,2.73,2.57,1.8,2.5,1.83,1.8,2.5,0.47,0.87,4.5,Twinkies,Reese's Peanut Butter Cups,Skittles,Lays Chips,Haribo Gummy Bears,2,0,,23,Male,1,
1.95,2.02,3.05,1.95,1.92,0,1.95,3.02,1.95,3.88,1.45,0.25,1.02,0.95,2.98,1.52,1.82,0.22,0.25,2.08,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Lays Chips,Fruit Roll-Ups,2,0,,19,Female,0,
1.57,1.5,2.4,2.5,0.47,1.53,2.5,3.47,0.47,3.5,2.7,1.4,2.67,4.5,1.47,3.63,2.9,0.07,1.73,3.6,Jelly Bellies,Kit Kat,Skittles,Doritos,Fruit Roll-Ups,2,0,,20,Female,0,
3.9,5,5,5,5,1,2,5,5,2,1,2,5,5,1,5,5,1,0.47,5,Jelly Bellies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,2,0,,20,Female,0,
0.42,0.68,3.82,2.82,4.38,2.52,3.75,3.52,2.98,0.42,0.38,1.52,2.75,2.92,0.48,2.85,3.72,3.98,3.05,2.85,Jelly Bellies,Kit Kat,Skittles,Lays Chips,Haribo Gummy Bears,2,0,,20,Female,0,
0.3,4.5,0.33,4.1,4.87,2.37,4.33,4.6,4.07,0.43,4.47,4.7,4.9,4.3,0.37,4.17,3.67,0.23,3.23,4.53,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,2,0,,19,Male,1,
0.33,0.77,0.87,3.43,0.4,3.87,0.3,2.7,3.5,0.2,4.63,0.43,4.83,0.33,2.37,0.2,1.57,0.37,0.37,4.8,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Fruit Roll-Ups,2,0,,21,Female,0,
0.18,2.3,0.52,3.53,4.55,0.3,0.31,0.43,1.54,0.37,0.48,0.44,0.58,2.47,0.43,3.49,3.46,2.58,0.38,0.4,Twinkies,Kit Kat,Skittles,Lays Chips,Haribo Gummy Bears,2,0,3,20,Male,1,
